Sentence,Word,category,hierarchical,non-hierarchical,non-hierarchical-definitor
14,nagubanje,B.4_Transformation,,HAS_RESULT,
14,sklenjene,,,HAS_RESULT,
14,travne,,,HAS_RESULT,
14,ruše,,,HAS_RESULT,
14,",",,,,
14,zaradi,,,,
14,česar,,,,
14,je,,,,
14,na,,,,
14,površju,,,,
14,viden,,,,
14,grbinast,,,HAS_RESULT,
14,relief,,,HAS_RESULT,
14,.,,,,
15,Bruhalniki,A.3_Hydrological_form,DEFINIENDUM,,
15,so,,DEFINITOR,,
15,kraški,A.3_Hydrological_form,GENUS,,
15,izviri,A.3_Hydrological_form,GENUS,,
15,",",,,,
15,ki,,,,
15,obdobno,,,,
15,bruhajo,,,HAS_FUNCTION,
15,vodo,D.1_Abiotic,,HAS_FUNCTION,
15,na,,,HAS_FUNCTION,
15,površje,,,HAS_FUNCTION,
15,.,,,,
16,Korozija,B._Process,DEFINIENDUM,,
16,je,,DEFINITOR,,frame_CAUSE
16,posledica,,,,frame_CAUSE
16,večje,,,HAS_CAUSE,
16,količine,,,HAS_CAUSE,
16,vode,,,HAS_CAUSE,
16,v,,,HAS_CAUSE,
16,nižjih,,,HAS_CAUSE,
16,legah,,,HAS_CAUSE,
16,.,,,,
17,Erozijski,A.1_Surface_landform,DEFINIENDUM,,
17,jarki,A.1_Surface_landform,DEFINIENDUM,,
17,so,,DEFINITOR,,
17,stalna,,,,
17,reliefna,A.1_Surface_landform,GENUS,,
17,oblika,A.1_Surface_landform,GENUS,,
17,",",,,,
17,pogosta,,,,
17,na,,,HAS_LOCATION,
17,strmih,,,HAS_LOCATION,
17,pobočjih,,,HAS_LOCATION,
17,.,,,,
18,Mikrožlebiči,A.1_Surface_landform,DEFINIENDUM,,
18,so,,DEFINITOR,,
18,vzporedne,,,HAS_FORM,
18,",",,,,
18,ravno,,,HAS_FORM,
18,potekajoče,,,HAS_FORM,
18,podolgovate,,,HAS_FORM,
18,vdolbine,,GENUS,,
18,",",,,,
18,ki,,,,
18,se,,,,frame_LOCATION
18,pojavljajo,,,,frame_LOCATION
18,na,,,,frame_LOCATION
18,bolj,,,,
18,nagnjeni,,,HAS_LOCATION,
18,goli,,,HAS_LOCATION,
18,skalni,,,HAS_LOCATION,
18,površini,,,HAS_LOCATION,
18,.,,,,
19,Korozijske,A.1_Surface_landform,DEFINIENDUM,,
19,stopničke,A.1_Surface_landform,DEFINIENDUM,,
19,so,,DEFINITOR,,
19,polkrožne,,,HAS_FORM,
19,kraške,,,,
19,reliefne,A.1_Surface_landform,GENUS,,
19,oblike,A.1_Surface_landform,GENUS,,
19,",",,,,
19,ki,,,,
19,se,,,,frame_LOCATION
19,pojavljajo,,,,frame_LOCATION
19,predvsem,,,,frame_LOCATION
19,na,,,,frame_LOCATION
19,golem,,,HAS_LOCATION,
19,skalnem,,,HAS_LOCATION,
19,površju,,,HAS_LOCATION,
19,.,,,,
20,Vsako,,,,
20,obdobje,,,OCCURS_IN_TIME,
20,otoplitve,B.4_Transformation,GENUS,OCCURS_IN_TIME,
20,in,,,,
20,s,,,,
20,tem,,,,
20,zmanjšanje,B.2_Loss,,,
20,obsega,,,,
20,ledenikov,A.3_Hydrological_form,,,
20,imenujemo,,DEFINITOR,,
20,medledena,D.3_Property,DEFINIENDUM,,
20,doba,D.3_Property,DEFINIENDUM,,
20,ali,,,,
20,interglacial,D.3_Property,DEFINIENDUM,,
20,.,,,,
21,Holocen,D.3_Property,DEFINIENDUM,,
21,predstavlja,,DEFINITOR,,
21,medledeno,,GENUS,,
21,dobo,,GENUS,,
21,",",,,,
21,ki,,,,
21,se,,,,frame_TIME
21,je,,,,frame_TIME
21,začela,,,,frame_TIME
21,pred,,,,frame_TIME
21,približno,,,,frame_TIME
21,11.000,,,OCCURS_IN_TIME,
21,leti,,,OCCURS_IN_TIME,
21,s,,,HAS_RESULT,
21,hitrim,,,HAS_RESULT,
21,zviševanjem,B.3_Addition,,HAS_RESULT,
21,morske,A.3_Hydrological_form,,HAS_RESULT,
21,gladine,A.3_Hydrological_form,,HAS_RESULT,
21,.,,,,
22,Vse,,,,
22,pojave,,GENUS,,
22,premeščanja,B._Process,,,
22,gradiva,B._Process,,,
22,",",,,,
22,ki,,,,
22,nastanejo,,,,frame_CAUSE
22,zaradi,,,,frame_CAUSE
22,vpliva,,,,
22,gravitacije,E.2_Method,,HAS_CAUSE,
22,in,,,,
22,so,,,,
22,pomemben,,,,
22,dejavnik,,,HAS_RESULT,
22,denudacije,B._Process,,HAS_RESULT,
22,površja,A._Landform,,HAS_RESULT,
22,",",,,,
22,imenujemo,,DEFINITOR,,
22,pobočni,B._Process,DEFINIENDUM,,
22,procesi,B._Process,DEFINIENDUM,,
22,.,,,,
23,Pri,,,,
23,izrazu,,,,
23,pobočni,B._Process,DEFINIENDUM,,
23,procesi,B._Process,DEFINIENDUM,,
23,ime,,DEFINITOR,,
23,pove,,DEFINITOR,,
23,",",,,,
23,da,,,,
23,gre,,,,
23,za,,,,
23,procese,B._Process,GENUS,,
23,",",,,,
23,ki,,,,
23,se,,,,
23,dogajajo,,,,
23,na,,,HAS_LOCATION,frame_LOCATION
23,pobočjih,A._Landform,,HAS_LOCATION,
23,.,,,,
24,Proces,,GENUS,,
24,",",,,,
24,v,,,,
24,katerem,,,,
24,se,,,,
24,trdna,,,AFFECTS,
24,kompaktna,,,AFFECTS,
24,kamnina,D.1_Abiotic,,AFFECTS,
24,pod,,,,frame_CAUSE
24,vplivom,,,,frame_CAUSE
24,eksogenih,,,HAS_CAUSE,
24,dejavnikov,,,HAS_CAUSE,
24,razkraja,,,HAS_RESULT,
24,v,,,HAS_RESULT,
24,manjše,,,HAS_RESULT,
24,in,,,HAS_RESULT,
24,med,,,HAS_RESULT,
24,seboj,,,HAS_RESULT,
24,nepovezane,,,HAS_RESULT,
24,delce,,,HAS_RESULT,
24,",",,,,
24,imenujemo,,DEFINITOR,,
24,preperevanje,B.4_Transformation,DEFINIENDUM,,
24,.,,,,
25,V,,,,
25,gradbeništvu,E.2_Method,,,
25,oziroma,,,,
25,vodarstvu,E.2_Method,,,
25,pojem,,,,
25,težnostna,B.1_Movement,DEFINIENDUM,,
25,erozija,B.1_Movement,DEFINIENDUM,,
25,obsega,,DEFINITOR,,
25,pojave,,,,
25,plazne,,SPECIES,,
25,",",,,,
25,usadne,,SPECIES,,
25,in,,,,
25,podorne,B.1_Movement,SPECIES,,
25,erozije,B.1_Movement,SPECIES,,
25,oziroma,,,,
25,pojave,,,,
25,",",,,,
25,ki,,,,
25,jih,,,,
25,pogosto,,,,
25,imenujemo,,,,
25,skupaj,,,,
25,kar,,,,
25,zemeljski,D.1_Abiotic,,HAS_RESULT,
25,plazovi,D.1_Abiotic,,HAS_RESULT,
25,.,,,,
26,Pojav,,,,
26,prištevamo,,,,
26,k,,,,
26,skalnim,B.1_Movement,GENUS,,
26,podorom,B.1_Movement,GENUS,,
26,in,,,,
26,ga,,,,
26,v,,,,
26,geografiji,E.2_Method,,,
26,imenujemo,,DEFINITOR,,
26,kamniti,B.1_Movement,DEFINIENDUM,,
26,zdrs,B.1_Movement,DEFINIENDUM,,
26,.,,,,
27,Spodnji,,,HAS_POSITION,
27,del,,,,
27,plazu,B.1_Movement,GENUS,,
27,imenujemo,,DEFINITOR,,
27,čelo,D.1_Abiotic,DEFINIENDUM,,
27,.,,,,
28,Dejavnike,,GENUS,,
28,",",,,,
28,ki,,,,
28,v,,,,
28,sistemu,,,,
28,dokončno,,,,
28,podrejo,,,,
28,ravnovesje,,,,
28,imenujemo,,DEFINITOR,,
28,"""",,,,
28,povod,,DEFINIENDUM,,
28,"""",,,,
28,za,,,,
28,nastanek,,,,
28,zemeljskih,D.1_Abiotic,,,
28,plazov,D.1_Abiotic,,,
28,.,,,,
29,Zato,,,,
29,lahko,,,,
29,mehaniko,E.2_Method,DEFINIENDUM,,
29,trdnih,,DEFINIENDUM,,
29,kamnin,D.1_Abiotic,DEFINIENDUM,,
29,imenujemo,,DEFINITOR,,
29,tudi,,,,
29,"""",,,,
29,mehaniko,E.2_Method,DEFINIENDUM,,
29,razpok,A.1_Surface_landform,DEFINIENDUM,,
29,"""",,,,
29,.,,,,
30,Takšnim,,,,
30,meandrom,A.3_Hydrological_form,GENUS,,
30,pravimo,,DEFINITOR,,
30,tudi,,DEFINITOR,,
30,ujeti,A.3_Hydrological_form,DEFINIENDUM,HAS_FORM,
30,meandri,A.3_Hydrological_form,DEFINIENDUM,,
30,in,,,,
30,jih,,,,
30,najdemo,,,,
30,tudi,,,,
30,v,,,,
30,nekaterih,,,,
30,drugih,,,,
30,slovenskih,D.3.1_Geolocation,,,
30,pokrajinah,,,,
30,.,,,,
31,V,,,,
31,leksikonu,E.1_Instrument,,,
31,je,,,,
31,spodmol,A.1_Surface_landform,DEFINIENDUM,,
31,definiran,,DEFINITOR,,
31,kot,,DEFINITOR,,
31,"""",,,,
31,kratka,,,HAS_FORM,
31,votlina,A.2_Underground_landform,GENUS,,
31,z,,,,
31,visoko,,,HAS_FORM,
31,previsno,A.2_Underground_landform,,,
31,steno,A.2_Underground_landform,,,
31,na,,,HAS_LOCATION,
31,vhodu,,,HAS_LOCATION,
31,"""",,,,
31,in,,,,
31,kot,,,,
31,"""",,,,
31,zaradi,,,HAS_CAUSE,frame_CAUSE
31,delovanja,,,HAS_CAUSE,
31,valov,A.3_Hydrological_form,,HAS_CAUSE,
31,izpodjeden,,,HAS_FORM,
31,previs,A.2_Underground_landform,,HAS_FORM,
31,na,,,HAS_LOCATION,
31,morski,,,HAS_LOCATION,
31,",",,,HAS_LOCATION,
31,jezerski,,,HAS_LOCATION,
31,obali,A.3_Hydrological_form,,HAS_LOCATION,
31,"""",,,,
32,V,,,,
32,geologiji,E.2_Method,,,
32,je,,,,
32,zemeljski,D.1_Abiotic,DEFINIENDUM,,
32,plaz,D.1_Abiotic,DEFINIENDUM,,
32,definiran,E.2_Method,DEFINITOR,,
32,kot,E.2_Method,DEFINITOR,,
32,območje,,GENUS,,
32,preperine,D.1_Abiotic,,,
32,",",,,,
32,usedline,D.1_Abiotic,,,
32,ali,,,,
32,kamnine,D.1_Abiotic,,,
32,",",,,,
32,ki,,,,
32,se,,,,
32,je,,,,
32,hitro,,,,
32,ali,,,,
32,počasi,,,,
32,premaknila,,,,
32,s,,,,
32,prvotnega,,,,
32,kraja,,,,
32,in,,,,
32,ima,,,,
32,vidno,,,,
32,spremenjeno,,,HAS_RESULT,
32,površje,A.1_Surface_landform,,HAS_RESULT,
32,.,,,,
33,V,,,,
33,najstarejši,,,,
33,literaturi,E.1_Instrument,,,
33,izraz,,,,
33,spodmol,A.1_Surface_landform,DEFINIENDUM,,
33,pomeni,,DEFINITOR,,
33,majhno,,,HAS_FORM,
33,izravnavo,,GENUS,,
33,na,,,HAS_LOCATION,
33,povešenih,,,HAS_LOCATION,
33,gorskih,A.1_Surface_landform,,HAS_LOCATION,
33,hrbtih,A.1_Surface_landform,,HAS_LOCATION,
33,in,,,HAS_LOCATION,
33,slemenih,A.1_Surface_landform,,HAS_LOCATION,
33,.,,,,
34,Spodmole,A.1_Surface_landform,DEFINIENDUM,,
34,opišejo,,DEFINITOR,,
34,kot,,DEFINITOR,,
34,vodoravne,,,HAS_FORM,
34,vdolbine,A.1_Surface_landform,GENUS,,
34,/,,,,
34,zajede,A.1_Surface_landform,GENUS,,
34,v,,,HAS_FORM,frame_FORM
34,obliki,,,HAS_FORM,frame_FORM
34,črke,,,HAS_FORM,
34,C,,,HAS_FORM,
34,v,,,,
34,navpičnem,,,,
34,prerezu,A.1_Surface_landform,,,
34,",",,,,
34,izdolbene,,,HAS_FORM,
34,na,,,HAS_LOCATION,
34,pobočjih,A.1_Surface_landform,,HAS_LOCATION,
34,in,,,HAS_LOCATION,
34,v,,,HAS_LOCATION,
34,skalnih,,,HAS_LOCATION,
34,stenah,A.1_Surface_landform,,HAS_LOCATION,
34,.,,,,
35,Uporablja,,DEFINITOR,,
35,se,,DEFINITOR,,
35,pojem,,DEFINITOR,,
35,prebojna,A.1_Surface_landform,DEFINIENDUM,,
35,dolina,A.1_Surface_landform,DEFINIENDUM,,
35,",",,,,
35,kar,,,,
35,pa,,,,
35,je,,,,
35,samo,,,,
35,slovenski,D.3.1_Geolocation,,,
35,izraz,,,,
35,za,,,,
35,antecedentno,A.1_Surface_landform,DEFINIENDUM,,
35,dolino,A.1_Surface_landform,DEFINIENDUM,,
35,",",,,,
35,to,,,,
35,je,,,,
35,tisti,,,,
35,del,,,,
35,rečne,A.1_Surface_landform,GENUS,,
35,doline,A.1_Surface_landform,GENUS,,
35,",",,,,
35,ki,,,,
35,se,,,,
35,je,,,,
35,ob,,,HAS_CAUSE,
35,dviganju,B.1_Movement,,HAS_CAUSE,
35,antiklinale,A._Landform,,HAS_CAUSE,
35,vrezal,,,HAS_CAUSE,
35,prečno,,,HAS_CAUSE,
35,na,,,HAS_CAUSE,
35,antiklinalo,A._Landform,,HAS_CAUSE,
35,.,,,,
36,Izraz,,,,
36,denudacija,B.4_Transformation,DEFINIENDUM,,
36,označuje,,DEFINITOR,,
36,razgaljanje,B.4_Transformation,GENUS,,
36,površja,B.4_Transformation,GENUS,,
36,oziroma,,,,
36,ploskovno,,,HAS_RESULT,
36,odstranjevanje,B.2_Loss,GENUS,HAS_RESULT,
36,preperelih,B.2_Loss,GENUS,HAS_RESULT,
36,snovi,B.2_Loss,GENUS,HAS_RESULT,
36,s,,,,
36,površja,A._Landform,,,
36,zemlje,D.1_Abiotic,,,
36,z,,,,
36,eksogenimi,B._Process,,,
36,procesi,B._Process,,,
36,.,,,,
37,Z,,,,
37,izrazom,,,,
37,zemeljski,D.1_Abiotic,DEFINIENDUM,,
37,plaz,D.1_Abiotic,DEFINIENDUM,,
37,razumejo,,DEFINITOR,,
37,tako,,,,
37,proces,,GENUS,,
37,",",,,,
37,to,,,,
37,je,,,,
37,"""",,,,
37,…,,,,
37,premikanje,B.1_Movement,,HAS_RESULT,
37,kamnin,D.1_Abiotic,,HAS_RESULT,
37,ali,,,HAS_RESULT,
37,zemlje,D.1_Abiotic,,HAS_RESULT,
37,po,,,HAS_RESULT,
37,pobočju,A._Landform,,HAS_RESULT,
37,navzdol,,,HAS_RESULT,
37,pod,,,,
37,vplivom,,,,
37,gravitacije,E.2_Method,,HAS_CAUSE,
37,.,,,,
37,.,,,,
37,.,,,,
37,"""",,,,
37,.,,,,
38,Škraplje,A.1_Surface_landform,DEFINIENDUM,,
38,so,,DEFINITOR,,
38,ena,,DEFINITOR,,
38,izmed,,DEFINITOR,,
38,najbolj,,DEFINITOR,,
38,tipičnih,,DEFINITOR,,
38,površinskih,,,,
38,kraških,A.1_Surface_landform,GENUS,,
38,oblik,A.1_Surface_landform,GENUS,,
38,",",,,,
38,ki,,,,
38,jih,,,,
38,sestavljajo,,,,
38,korozijsko,,,HAS_FORM,
38,razširjene,,,HAS_FORM,
38,razpoke,A.1_Surface_landform,,HAS_FORM,
38,ter,,,HAS_FORM,
38,vmesni,,,HAS_FORM,
38,bloki,,,HAS_FORM,
38,.,,,,
39,Kopasti,A.1_Surface_landform,DEFINIENDUM,,
39,vrhovi,A.1_Surface_landform,DEFINIENDUM,,
39,so,,DEFINITOR,,
39,najpogostejši,,DEFINITOR,,
39,tip,,DEFINITOR,,
39,kraške,A.1_Surface_landform,GENUS,,
39,vzpetine,A.1_Surface_landform,GENUS,,
39,.,,,,
39,Gre,,,,
39,za,,,,
39,višje,,,HAS_LOCATION,
39,predele,,,HAS_LOCATION,
39,kraškega,,,HAS_LOCATION,
39,površja,,,HAS_LOCATION,
39,",",,,,
39,ki,,,,
39,navadno,,,,
39,ležijo,,,HAS_LOCATION,
39,med,,,HAS_LOCATION,
39,zaprtimi,,,HAS_LOCATION,
39,kraškimi,,,HAS_LOCATION,
39,kotanjami,,,HAS_LOCATION,
39,različnih,,,HAS_LOCATION,
39,dimenzij,,,HAS_LOCATION,
39,",",,,,
39,kot,,,,
39,so,,,,
39,uvale,A.1_Surface_landform,,,
39,",",,,,
39,vrtače,A.1_Surface_landform,,,
39,in,,,,
39,druge,,,,
39,manjše,,,,
39,globeli,A.1_Surface_landform,,,
39,.,,,,
40,Kotliči,A.1_Surface_landform,DEFINIENDUM,,
40,so,,DEFINITOR,,
40,skalnate,,,COMPOSITION_MEDIUM,
40,globeli,A.1_Surface_landform,GENUS,,
40,okrogle,,,HAS_FORM,
40,",",,,,
40,podolgovate,,,HAS_FORM,
40,ali,,,,
40,oglate,,,HAS_FORM,
40,oblike,,,,
40,s,,,,frame_SIZE
40,premerom,,,,frame_SIZE
40,in,,,,
40,globino,,,,frame_SIZE
40,nekaj,,,HAS_SIZE,
40,metrov,,,HAS_SIZE,
40,ter,,,,
40,strmimi,,,HAS_FORM,
40,do,,,HAS_FORM,
40,navpičnimi,,,HAS_FORM,
40,stenami,,,HAS_FORM,
40,.,,,,
41,Jame,A.2_Underground_landform,DEFINIENDUM,,
41,so,,DEFINITOR,,
41,pogosto,,DEFINITOR,,
41,opredeljene,,DEFINITOR,,
41,kot,,DEFINITOR,,
41,naravne,,,,
41,podzemeljske,A.2_Underground_landform,GENUS,,
41,votline,A.2_Underground_landform,GENUS,,
41,",",,,,
41,ki,,,,
41,so,,,,
41,prehodne,,,HAS_FUNCTION,
41,za,,,HAS_FUNCTION,
41,človeka,,,HAS_FUNCTION,
41,.,,,,
42,Vrtače,A.1_Surface_landform,DEFINIENDUM,,
42,so,,DEFINITOR,,
42,običajno,,DEFINITOR,,
42,krožne,,,HAS_FORM,
42,do,,,,
42,polkrožne,,,HAS_FORM,
42,reliefne,A.1_Surface_landform,GENUS,,
42,oblike,A.1_Surface_landform,GENUS,,
42,",",,,,
42,ki,,,,
42,se,,,,
42,razlikujejo,,,,
42,v,,,HAS_SIZE,
42,premeru,,,HAS_SIZE,
42,od,,,HAS_SIZE,
42,nekaj,,,HAS_SIZE,
42,m,,,HAS_SIZE,
42,do,,,HAS_SIZE,
42,1,,,HAS_SIZE,
42,km,,,HAS_SIZE,
42,.,,,,
43,Vdolbinice,A.1_Surface_landform,DEFINIENDUM,,
43,se,,DEFINITOR,,
43,pojavljajo,,DEFINITOR,,
43,kot,,DEFINITOR,,
43,majhne,,,HAS_SIZE,
43,izjedenine,,GENUS,,
43,v,,,COMPOSITION_MEDIUM,
43,skalni,,,COMPOSITION_MEDIUM,
43,podlagi,,,COMPOSITION_MEDIUM,
43,.,,,,
44,Odlaganje,B._Process,DEFINIENDUM,,
44,sige,B._Process,DEFINIENDUM,,
44,je,,DEFINITOR,,
44,proces,B._Process,GENUS,,
44,",",,,,
44,ki,,,,
44,je,,,,
44,ravno,,,,
44,nasproten,,,,
44,koroziji,,,,
44,.,,,,
45,Kraška,A.1_Surface_landform,DEFINIENDUM,,
45,polja,A.1_Surface_landform,DEFINIENDUM,,
45,so,,DEFINITOR,,
45,največje,,,,
45,in,,,,
45,gospodarsko,,,HAS_FUNCTION,
45,najpomembnejše,,,HAS_FUNCTION,
45,kotanje,A.1_Surface_landform,GENUS,,
45,v,,,,
45,dinarskem,C._Geome,,,
45,krasu,C._Geome,,,
45,.,C._Geome,,,
46,Kraško,A.1_Surface_landform,,,
46,polje,A.1_Surface_landform,,,
46,v,,,HAS_LOCATION,
46,nivoju,,,HAS_LOCATION,
46,podzemne,,,HAS_LOCATION,
46,vode,,,HAS_LOCATION,
46,v,,,HAS_LOCATION,
46,krasu,,,HAS_LOCATION,
46,je,,DEFINITOR,,
46,večja,,,,
46,sklenjena,,GENUS,,
46,površina,,GENUS,,
46,",",,,,
46,ki,,,,
