sentence,word,hierarchical,non-hierarchical
6,that,,HAS_ATTRIBUTE
6,is,,HAS_ATTRIBUTE
6,completely,,HAS_ATTRIBUTE
6,saturated,,HAS_ATTRIBUTE
6,and,,
6,will,,HAS_FUNCTION
6,yield,,HAS_FUNCTION
6,water,,HAS_FUNCTION
6,to,,HAS_FUNCTION
6,a,,HAS_FUNCTION
6,well,,HAS_FUNCTION
6,or,,HAS_FUNCTION
6,spring,,HAS_FUNCTION
6,.,,
7,aragonite,DEFINIENDUM,
7,:,,
7,A,,
7,mineral,GENUS,
7,composed,,COMPOSITION_MEDIUM
7,of,,COMPOSITION_MEDIUM
7,calcium,,COMPOSITION_MEDIUM
7,carbonate,,COMPOSITION_MEDIUM
7,",",,COMPOSITION_MEDIUM
7,CaCO2,,COMPOSITION_MEDIUM
7,",",,
7,like,,HAS_FORM
7,calcite,,HAS_FORM
7,but,,HAS_FORM
7,differing,,HAS_FORM
7,in,,HAS_FORM
7,crystal,,HAS_FORM
7,form,,HAS_FORM
7,.,,
8,arete,DEFINIENDUM,
8,and,,
8,pinnacle,DEFINIENDUM,
8,karst,DEFINIENDUM,
8,:,,
8,A,,
8,landscape,GENUS,
8,of,,HAS_FORM
8,naked,,HAS_FORM
8,reticulated,,HAS_FORM
8,saw-topped,,HAS_FORM
8,ridges,,HAS_FORM
8,having,,HAS_FORM
8,almost,,HAS_FORM
8,vertical,,HAS_FORM
8,slopes,,HAS_FORM
8,and,,
8,a,,HAS_SIZE
8,relief,,HAS_SIZE
8,of,,HAS_SIZE
8,as,,HAS_SIZE
8,much,,HAS_SIZE
8,as,,HAS_SIZE
8,120,,HAS_SIZE
8,meters,,HAS_SIZE
8,.,,
8,The,,
8,ridges,,HAS_FORM
8,rise,,HAS_FORM
8,above,,HAS_FORM
8,forest-covered,,HAS_FORM
8,corridors,,HAS_FORM
8,and,,HAS_FORM
8,depressions,,HAS_FORM
8,.,,
8,Found,,HAS_POSITION
8,in,,HAS_POSITION
8,New,,HAS_POSITION
8,Guinea,,HAS_POSITION
8,at,,HAS_POSITION
8,elevations,,HAS_POSITION
8,of,,HAS_POSITION
8,"2,000",,HAS_POSITION
8,meters,,HAS_POSITION
8,and,,HAS_POSITION
8,more,,HAS_POSITION
8,.,,
9,backflooding,DEFINIENDUM,
9,:,,
9,Temporarily,,DEFINED_AS
9,rising,GENUS,DEFINED_AS
9,water,GENUS,DEFINED_AS
9,level,GENUS,DEFINED_AS
9,in,,HAS_LOCATION
9,a,,HAS_LOCATION
9,cave,,HAS_LOCATION
9,caused,,HAS_CAUSE
9,downstream,,HAS_CAUSE
9,passage,,HAS_CAUSE
9,being,,HAS_CAUSE
9,too,,HAS_CAUSE
9,small,,HAS_CAUSE
9,to,,HAS_CAUSE
9,pass,,HAS_CAUSE
9,an,,HAS_CAUSE
9,abnormally,,HAS_CAUSE
9,high,,HAS_CAUSE
9,discharge,,HAS_CAUSE
9,.,,
9,The,,
9,excavation,,
9,and,,
9,reexcavation,,
9,of,,
9,some,,
9,caves,,
9,is,,
9,ascribed,,
9,to,,
9,the,,
9,enlarger'ent,,
9,of,,
9,a,,
9,passage,,
9,at,,
9,or,,
9,near,,
9,the,,
9,water,,
9,table,,
9,by,,
9,gravity,,
9,flow,,
9,alternating,,
9,with,,
9,periods,,
9,of,,
9,calcite,,
9,precipitation,,
9,.,,
10,bacon,DEFINIENDUM,
10,:,,
10,Thin,,HAS_FORM
10,",",,
10,elongated,,HAS_FORM
10,",",,
10,translucent,,HAS_FORM
10,flowstone,GENUS,
10,having,,CONTAINS
10,parallel,,CONTAINS
10,colored,,CONTAINS
10,bands,,CONTAINS
10,on,,CONTAINS
10,or,,
10,projecting,,HAS_LOCATION
10,from,,HAS_LOCATION
10,roofs,,HAS_LOCATION
10,and,,HAS_LOCATION
10,walls,,HAS_LOCATION
10,of,,HAS_LOCATION
10,some,,HAS_LOCATION
10,caves,,HAS_LOCATION
10,.,,
10,See,,
10,also,,
10,blanket,,
10,;,,
10,curtain,,
10,;,,
10,drapery,,
10,.,,
11,balcony,DEFINIENDUM,
11,:,,
11,Any,,
11,projection,GENUS,
11,on,GENUS,HAS_LOCATION
11,the,GENUS,HAS_LOCATION
11,wall,GENUS,HAS_LOCATION
11,of,,HAS_LOCATION
11,a,,HAS_LOCATION
11,cave,,HAS_LOCATION
11,large,,HAS_SIZE
11,enough,,HAS_SIZE
11,to,,HAS_SIZE
11,support,,HAS_SIZE
11,one,,HAS_SIZE
11,or,,HAS_SIZE
11,more,,HAS_SIZE
11,persons,,HAS_SIZE
11,.,,
12,beachrock,DEFINIENDUM,
12,:,,
12,A,,
12,friable,,HAS_FORM
12,to,,HAS_FORM
12,indurated,,HAS_FORM
12,rock,,
12,consisting,,COMPOSITION_MEDIUM
12,of,,COMPOSITION_MEDIUM
12,sand,,COMPOSITION_MEDIUM
12,grains,,COMPOSITION_MEDIUM
12,of,,COMPOSITION_MEDIUM
12,various,,COMPOSITION_MEDIUM
12,minerals,,COMPOSITION_MEDIUM
12,cemented,,COMPOSITION_MEDIUM
12,by,,COMPOSITION_MEDIUM
12,calcium,,COMPOSITION_MEDIUM
12,carbonate,,COMPOSITION_MEDIUM
12,;,,
12,occurs,,HAS_LOCATION
12,in,,HAS_LOCATION
12,thin,,HAS_LOCATION
12,beds,,HAS_LOCATION
12,dipping,,HAS_LOCATION
12,seaward,,HAS_LOCATION
12,at,,HAS_LOCATION
12,less,,HAS_LOCATION
12,than,,HAS_LOCATION
12,15,,HAS_LOCATION
12,°,,
12,.,,
12,Also,,
12,known,,
12,as,,
12,beach,,
12,standstone,,
12,.,,
13,bedding-plane,DEFINIENDUM,
13,cave,DEFINIENDUM,
13,:,,
13,A,,
13,passage,GENUS,
13,formed,,HAS_LOCATION
13,along,,HAS_LOCATION
13,a,,HAS_LOCATION
13,bedding,,HAS_LOCATION
13,plane,,HAS_LOCATION
13,",",,
13,especially,,HAS_CAUSE
13,when,,HAS_CAUSE
13,there,,HAS_CAUSE
13,is,,HAS_CAUSE
13,a,,HAS_CAUSE
13,difference,,HAS_CAUSE
13,in,,HAS_CAUSE
13,susceptibility,,HAS_CAUSE
13,to,,HAS_CAUSE
13,corrosion,,HAS_CAUSE
13,in,,HAS_CAUSE
13,the,,HAS_CAUSE
13,two,,HAS_CAUSE
13,beds,,HAS_CAUSE
13,.,,
14,blade,DEFINIENDUM,
14,:,,
14,In,,HAS_LOCATION
14,a,,HAS_LOCATION
14,cave,,HAS_LOCATION
14,",",,
14,a,,
14,thin,,HAS_FORM
14,sharp,,HAS_FORM
14,projection,GENUS,
14,jutting,,HAS_LOCATION
14,out,,HAS_LOCATION
14,from,,HAS_LOCATION
14,roof,,HAS_LOCATION
14,",",,HAS_LOCATION
14,wall,,HAS_LOCATION
14,",",,HAS_LOCATION
14,or,,HAS_LOCATION
14,floor,,HAS_LOCATION
14,",",,
14,of,,HAS_FORM
14,which,,HAS_FORM
14,it,,HAS_FORM
14,is,,HAS_FORM
14,an,,HAS_FORM
14,integral,,HAS_FORM
14,part,,HAS_FORM
14,;,,
14,generally,,HAS_CAUSE
14,the,,HAS_CAUSE
14,remains,,HAS_CAUSE
14,of,,HAS_CAUSE
14,a,,HAS_CAUSE
14,partition,,HAS_CAUSE
14,or,,HAS_CAUSE
14,bridge,,HAS_CAUSE
14,.,,
15,Exhalation,DEFINIENDUM,
15,is,DEFINITOR,
15,the,,DEFINED_AS
15,proportion,GENUS,DEFINED_AS
15,of,GENUS,DEFINED_AS
15,radon,GENUS,DEFINED_AS
15,produced,,DEFINED_AS
15,that,,DEFINED_AS
15,is,,DEFINED_AS
15,released,,DEFINED_AS
15,into,,DEFINED_AS
15,the,,DEFINED_AS
15,atmosphere,,DEFINED_AS
15,.,,
16,Whiting,DEFINIENDUM,
16,is,DEFINITOR,
16,a,DEFINITOR,
16,specific,DEFINITOR,
16,category,DEFINITOR,
16,of,DEFINITOR,
16,fine-grained,GENUS,
16,filler,GENUS,
16,derived,,HAS_CAUSE
16,by,,HAS_CAUSE
16,fine,,HAS_CAUSE
16,grinding,,HAS_CAUSE
16,such,,HAS_SIZE
16,that,,HAS_SIZE
16,>,,HAS_SIZE
16,95%,,HAS_SIZE
16,is,,HAS_SIZE
16,<,,HAS_SIZE
16,44,,HAS_SIZE
16,µm,,HAS_SIZE
16,.,,
17,Littoral,DEFINIENDUM,
17,caves,DEFINIENDUM,
17,",",,
17,more,,
17,commonly,,
17,known,DEFINITOR,
17,as,DEFINITOR,
17,sea,DEFINIENDUM,
17,caves,DEFINIENDUM,
17,",",,
17,are,,
17,found,,HAS_LOCATION
17,throughout,,HAS_LOCATION
17,the,,HAS_LOCATION
17,world,,HAS_LOCATION
17,",",,
17,actively,,
17,forming,,HAS_LOCATION
17,along,,HAS_LOCATION
17,present,,HAS_LOCATION
17,coastlines,,HAS_LOCATION
17,and,,
17,as,,
17,relict,,HAS_LOCATION
17,sea,,HAS_LOCATION
17,caves,,HAS_LOCATION
17,on,,HAS_LOCATION
17,former,,HAS_LOCATION
17,coastlines,,HAS_LOCATION
17,.,,
18,Slabs,DEFINIENDUM,
18,are,DEFINITOR,
18,fragments,GENUS,HAS_FORM
18,of,GENUS,HAS_FORM
18,a,GENUS,HAS_FORM
18,single,GENUS,HAS_FORM
18,bed,GENUS,HAS_FORM
18,",",,
18,generally,,
18,a,,HAS_SIZE
18,few,,HAS_SIZE
18,cubic,,HAS_SIZE
18,metres,,HAS_SIZE
18,in,,HAS_SIZE
18,volume,,HAS_SIZE
18,.,,
19,Moonmilk,DEFINIENDUM,
19,is,DEFINITOR,
19,a,DEFINITOR,
19,precipitate,GENUS,
19,that,,
19,seems,,HAS_CAUSE
19,to,,HAS_CAUSE
19,be,,HAS_CAUSE
19,originated,,HAS_CAUSE
19,by,,HAS_CAUSE
19,microbiological,,HAS_CAUSE
19,reactions,,HAS_CAUSE
19,.,,
20,The,,
20,term,,
20,“,,
20,margin,DEFINIENDUM,
20,”,,
20,refers,DEFINITOR,
20,to,DEFINITOR,
20,the,,DEFINED_AS
20,position,GENUS,DEFINED_AS
20,of,GENUS,DEFINED_AS
20,the,GENUS,DEFINED_AS
20,cave,GENUS,DEFINED_AS
20,at,,DEFINED_AS
20,the,,DEFINED_AS
20,margin,,DEFINED_AS
20,of,,DEFINED_AS
20,the,,DEFINED_AS
20,lens,,DEFINED_AS
20,",",,
20,and,,
20,the,,
20,term,,
20,“,,
20,flank,,
20,”,,
20,refers,,
20,to,,
20,the,,
20,cave,,
20,’,,
20,s,,
20,position,,
20,under,,HAS_LOCATION
20,the,,HAS_LOCATION
20,flank,,HAS_LOCATION
20,of,,HAS_LOCATION
20,the,,HAS_LOCATION
20,high,,HAS_LOCATION
20,ground,,HAS_LOCATION
20,that,,
20,forms,,HAS_CAUSE
20,the,,HAS_CAUSE
20,island,,HAS_CAUSE
20,.,,
21,Speleotherapy,DEFINIENDUM,
21,is,DEFINITOR,
21,a,DEFINITOR,
21,special,DEFINITOR,
21,type,DEFINITOR,
21,of,DEFINITOR,
21,medical,GENUS,
21,treatment,GENUS,
21,",",,
21,involving,,COMPOSITION_MEDIUM
21,subterranean,,COMPOSITION_MEDIUM
21,environments,,COMPOSITION_MEDIUM
21,and,,COMPOSITION_MEDIUM
21,their,,COMPOSITION_MEDIUM
21,specific,,COMPOSITION_MEDIUM
21,microclimate,,COMPOSITION_MEDIUM
21,.,,
22,Springs,GENUS,
22,in,,COMPOSITION_MEDIUM
22,autogenic,,COMPOSITION_MEDIUM
22,aquifers,,COMPOSITION_MEDIUM
22,",",,
22,which,,
22,receive,,HAS_CAUSE
22,the,,HAS_CAUSE
22,bulk,,HAS_CAUSE
22,of,,HAS_CAUSE
22,their,,HAS_CAUSE
22,recharge,,HAS_CAUSE
22,from,,HAS_CAUSE
22,a,,HAS_CAUSE
22,karst,,HAS_CAUSE
22,surface,,HAS_CAUSE
22,",",,
22,are,DEFINITOR,
22,known,DEFINITOR,
22,as,DEFINITOR,
22,exsurgences,DEFINIENDUM,
22,",",,
22,and,,
22,exhibit,,HAS_ATTRIBUTE
22,less,,HAS_ATTRIBUTE
22,variability,,HAS_ATTRIBUTE
22,in,,HAS_ATTRIBUTE
22,discharge,,HAS_ATTRIBUTE
22,and,,HAS_ATTRIBUTE
22,composition,,HAS_ATTRIBUTE
22,.,,
23,Open,DEFINIENDUM,
23,anchialine,DEFINIENDUM,
23,pools,DEFINIENDUM,
23,are,DEFINITOR,
23,coastal,GENUS,HAS_LOCATION
23,pools,GENUS,
23,connected,,HAS_FORM
23,to,,HAS_FORM
23,the,,HAS_FORM
23,sea,,HAS_FORM
23,by,,HAS_FORM
23,cave,,HAS_FORM
23,corridors,,HAS_FORM
23,.,,
24,Fungi,DEFINIENDUM,
24,are,DEFINITOR,
24,important,,HAS_FUNCTION
24,decomposers,GENUS,HAS_FUNCTION
24,in,,HAS_FUNCTION
24,caves,,HAS_FUNCTION
24,and,,
24,produce,,HAS_FUNCTION
24,a,,HAS_FUNCTION
24,variety,,HAS_FUNCTION
24,of,,HAS_FUNCTION
24,extracellular,,HAS_FUNCTION
24,enzymes,,HAS_FUNCTION
24,(,,HAS_FUNCTION
24,lipases,,HAS_FUNCTION
24,",",,HAS_FUNCTION
24,proteinases,,HAS_FUNCTION
24,",",,HAS_FUNCTION
24,and,,HAS_FUNCTION
24,chitinases,,HAS_FUNCTION
24,),,HAS_FUNCTION
24,that,,HAS_FUNCTION
24,degrade,,HAS_FUNCTION
24,organic,,HAS_FUNCTION
24,detritus,,HAS_FUNCTION
24,.,,
25,Glaciokarstic,DEFINIENDUM,
25,varves,DEFINIENDUM,
25,are,DEFINITOR,
25,silty,,HAS_FORM
25,",",,HAS_FORM
25,laminated,,HAS_FORM
25,sediments,GENUS,HAS_FORM
25,composed,,COMPOSITION_MEDIUM
25,largely,,COMPOSITION_MEDIUM
25,of,,COMPOSITION_MEDIUM
25,calcite,,COMPOSITION_MEDIUM
25,flakes,,COMPOSITION_MEDIUM
25,.,,
26,Vulcanospeleology,DEFINIENDUM,
26,is,DEFINITOR,
26,the,,
26,study,GENUS,
26,of,GENUS,
26,caves,GENUS,STUDIES
26,in,,STUDIES
26,volcanic,,STUDIES
26,rocks,,STUDIES
26,—,,STUDIES
26,primarily,,STUDIES
26,lava,,STUDIES
26,tube,,STUDIES
26,caves,,STUDIES
26,and,,STUDIES
26,open,,STUDIES
26,vertical,,STUDIES
26,volcanic,,STUDIES
26,conduits,,STUDIES
26,.,,
27,The,DEFINITOR,
27,term,DEFINITOR,
27,anchialine,DEFINIENDUM,
27,was,,
27,coined,,
27,by,,
27,Holthuis,,
27,(,,
27,1973,,
27,),,
27,to,DEFINITOR,
27,describe,DEFINITOR,
27,pools,GENUS,HAS_FORM
27,with,,HAS_FORM
27,no,,HAS_FORM
27,surface,,HAS_FORM
27,connection,,HAS_FORM
27,to,,HAS_FORM
27,the,,HAS_FORM
27,sea,,HAS_FORM
27,",",,
27,containing,,CONTAINS
27,salt,,CONTAINS
27,or,,CONTAINS
27,brackish,,CONTAINS
27,water,,CONTAINS
27,",",,
27,which,,
27,fluctuates,,OCCURS_IN_TIME
27,with,,OCCURS_IN_TIME
27,the,,OCCURS_IN_TIME
27,tides,,OCCURS_IN_TIME
27,.,,
28,Entrances,DEFINIENDUM,
28,are,DEFINITOR,
28,accidental,,HAS_CAUSE
28,intersections,GENUS,HAS_CAUSE
28,of,GENUS,HAS_CAUSE
28,the,GENUS,HAS_CAUSE
28,caves,GENUS,HAS_CAUSE
28,by,,HAS_CAUSE
28,surface,,HAS_CAUSE
28,erosion,,HAS_CAUSE
28,.,,
29,The,,
29,fengcong,DEFINIENDUM,
29,is,DEFINITOR,
29,defined,DEFINITOR,
29,as,DEFINITOR,
29,groups,GENUS,CONTAINS
29,of,GENUS,CONTAINS
29,rocky,GENUS,CONTAINS
29,hills,GENUS,CONTAINS
29,or,,CONTAINS
29,peaks,,CONTAINS
29,rising,,HAS_LOCATION
29,from,,HAS_LOCATION
29,shared,,HAS_LOCATION
29,limestone,,HAS_LOCATION
29,foot-slopes,,HAS_LOCATION
29,.,,HAS_LOCATION
30,calcilutite,DEFINIENDUM,
30,:,,
30,Clastic,,
30,limestone,GENUS,
30,or,,
30,dolomite,GENUS,
30,in,,HAS_SIZE
30,which,,HAS_SIZE
30,the,,HAS_SIZE
30,grains,,HAS_SIZE
30,have,,HAS_SIZE
30,an,,HAS_SIZE
30,average,,HAS_SIZE
30,diameter,,HAS_SIZE
30,of,,HAS_SIZE
30,less,,HAS_SIZE
30,than,,HAS_SIZE
30,1,,HAS_SIZE
30,/,,HAS_SIZE
30,16,,HAS_SIZE
30,millimeter,,HAS_SIZE
30,;,,
30,calcareous,DEFINIENDUM,
30,mudstone,DEFINIENDUM,
30,.,,
31,calcirudite,DEFINIENDUM,
31,:,,
31,A,,
31,fragmental,,HAS_FORM
31,limestone,GENUS,
31,in,,HAS_SIZE
31,which,,HAS_SIZE
31,the,,HAS_SIZE
31,particles,,HAS_SIZE
31,are,,HAS_SIZE
31,generally,,HAS_SIZE
31,larger,,HAS_SIZE
31,than,,HAS_SIZE
31,2,,HAS_SIZE
31,millimeters,,HAS_SIZE
31,.,,
32,calcite,DEFINIENDUM,
32,:,,
32,A,,
32,mineral,GENUS,
32,composed,,COMPOSITION_MEDIUM
32,of,,COMPOSITION_MEDIUM
32,calcium,,COMPOSITION_MEDIUM
32,carbonate,,COMPOSITION_MEDIUM
32,",",,COMPOSITION_MEDIUM
32,CaCOs,,COMPOSITION_MEDIUM
32,",",,
32,like,,HAS_FORM
32,aragonite,,HAS_FORM
32,but,,HAS_FORM
32,differing,,HAS_FORM
32,in,,HAS_FORM
32,crystal,,HAS_FORM
32,form,,HAS_FORM
32,;,,
32,the,,HAS_RESULT
32,principal,,HAS_RESULT
32,constituent,,HAS_RESULT
32,of,,HAS_RESULT
32,limestone,,HAS_RESULT
32,.,,
33,calcite,DEFINIENDUM,
33,bubble,DEFINIENDUM,
33,:,,
33,A,,
33,hollow,,HAS_FORM
33,sphere,GENUS,
33,formed,,HAS_CAUSE
33,by,,HAS_CAUSE
33,the,,HAS_CAUSE
33,deposition,,HAS_CAUSE
33,of,,HAS_CAUSE
33,calcite,,HAS_CAUSE
33,around,,HAS_CAUSE
33,a,,HAS_CAUSE
33,gas,,HAS_CAUSE
33,bubble,,HAS_CAUSE
33,;,,
33,the,,HAS_FORM
33,interior,,HAS_FORM
33,is,,HAS_FORM
33,smooth,,HAS_FORM
33,",",,HAS_FORM
33,and,,HAS_FORM
33,the,,HAS_FORM
33,exterior,,HAS_FORM
33,consists,,HAS_FORM
33,of,,HAS_FORM
33,small,,HAS_FORM
33,jagged,,HAS_FORM
33,crystals,,HAS_FORM
33,.,,
34,canopy,DEFINIENDUM,
34,:,,
34,A,,
34,compound,,
34,cave,GENUS,
34,formation,GENUS,
34,consisting,,COMPOSITION_MEDIUM
34,of,,COMPOSITION_MEDIUM
34,flowstone,,COMPOSITION_MEDIUM
34,hanging,,HAS_LOCATION
34,from,,HAS_LOCATION
34,a,,HAS_LOCATION
34,sloping,,HAS_LOCATION
34,wall,,HAS_LOCATION
34,projection,,HAS_LOCATION
34,and,,
34,forming,,HAS_FORM
34,a,,HAS_FORM
34,fringe,,HAS_FORM
34,of,,HAS_FORM
34,shawls,,HAS_FORM
34,or,,HAS_FORM
34,stalactites,,HAS_FORM
34,on,,HAS_FORM
34,the,,HAS_FORM
34,outer,,HAS_FORM
34,edge,,HAS_FORM
34,.,,
35,canyon,DEFINIENDUM,
35,:,,
35,A,,
35,steep-walled,,HAS_FORM
35,chasm,GENUS,
35,",",,
35,gorge,GENUS,
35,",",,
35,or,,
35,ravine,GENUS,
35,cut,,HAS_CAUSE
35,by,,HAS_CAUSE
35,running,,HAS_CAUSE
35,water,,HAS_CAUSE
35,.,,
36,canyon,DEFINIENDUM,
36,:,,
36,A,,
36,valley,GENUS,
36,formed,,HAS_CAUSE
36,by,,HAS_CAUSE
36,collapse,,HAS_CAUSE
36,of,,HAS_CAUSE
36,the,,HAS_CAUSE
36,roof,,HAS_CAUSE
36,of,,HAS_CAUSE
36,a,,HAS_CAUSE
36,long,,HAS_CAUSE
36,fairly,,HAS_CAUSE
36,straight,,HAS_CAUSE
36,cave,,HAS_CAUSE
36,;,,
36,a,,
36,karst,,
36,valley,,
36,.,,
37,capillary,DEFINIENDUM,
37,stalagmite,DEFINIENDUM,
37,:,,
37,Hollow,,HAS_FORM
37,stalagmite,GENUS,
37,formed,,HAS_CAUSE
37,by,,HAS_CAUSE
37,saturated,,HAS_CAUSE
37,karst,,HAS_CAUSE
37,water,,HAS_CAUSE
37,pushed,,HAS_CAUSE
37,up,,HAS_CAUSE
37,through,,HAS_CAUSE
37,capillaries,,HAS_CAUSE
37,and,,HAS_CAUSE
37,small,,HAS_CAUSE
37,cracks,,HAS_CAUSE
37,in,,HAS_LOCATION
37,a,,HAS_LOCATION
37,sinter,,HAS_LOCATION
37,crust,,HAS_LOCATION
37,;,,
37,covering,,HAS_FORM
37,permeable,,HAS_FORM
37,fluvial,,HAS_FORM
37,deposits,,HAS_FORM
37,on,,HAS_LOCATION
37,the,,HAS_LOCATION
37,floor,,HAS_LOCATION
37,of,,HAS_LOCATION
37,a,,HAS_LOCATION
37,cave,,HAS_LOCATION
37,;,,
37,first,,HAS_POSITION
37,reported,,HAS_POSITION
37,from,,HAS_POSITION
37,Cuba,,HAS_POSITION
37,",",,
37,where,,
37,such,,
37,stalagmites,,
37,are,,
37,composed,,
37,of,,
37,aragonite,,
37,.,,
38,carbonate,DEFINIENDUM,
38,:,,
38,A,,
38,rock,GENUS,
38,consisting,,COMPOSITION_MEDIUM
38,mainly,,COMPOSITION_MEDIUM
38,of,,COMPOSITION_MEDIUM
38,carbonate,,COMPOSITION_MEDIUM
38,minerals,,COMPOSITION_MEDIUM
38,",",,COMPOSITION_MEDIUM
38,such,,COMPOSITION_MEDIUM
38,as,,COMPOSITION_MEDIUM
38,limestone,,COMPOSITION_MEDIUM
38,or,,COMPOSITION_MEDIUM
38,dolomite,,COMPOSITION_MEDIUM
38,.,,
39,cave,DEFINIENDUM,
39,:,,
39,A,,
39,natural,,HAS_CAUSE
39,underground,,HAS_LOCATION
39,room,GENUS,HAS_FORM
39,or,,HAS_FORM
39,series,,HAS_FORM
39,of,,HAS_FORM
39,rooms,,HAS_FORM
39,and,,HAS_FORM
39,passages,,HAS_FORM
39,large,,HAS_SIZE
39,enough,,HAS_SIZE
39,to,,HAS_SIZE
39,be,,HAS_SIZE
39,entered,,HAS_SIZE
39,by,,HAS_SIZE
39,a,,HAS_SIZE
39,man,,HAS_SIZE
39,;,,
39,generally,,HAS_CAUSE
39,formed,,HAS_CAUSE
39,by,,HAS_CAUSE
39,solution,,HAS_CAUSE
39,of,,HAS_CAUSE
39,limestone,,HAS_CAUSE
39,.,,
40,cave,DEFINIENDUM,
40,breakdown,DEFINIENDUM,
40,:,,
40,Enlargement,GENUS,DEFINED_AS
40,of,,DEFINED_AS
40,parts,,DEFINED_AS
40,of,,DEFINED_AS
40,a,,DEFINED_AS
40,cave,,DEFINED_AS
40,system,,DEFINED_AS
40,by,,HAS_CAUSE
40,fall,,HAS_CAUSE
40,of,,HAS_CAUSE
40,rock,,HAS_CAUSE
40,masses,,HAS_CAUSE
40,from,,HAS_CAUSE
40,walls,,HAS_CAUSE
40,and,,HAS_CAUSE
40,ceiling,,HAS_CAUSE
40,.,,
41,cave,DEFINIENDUM,
41,breakdown,DEFINIENDUM,
41,:,,
41,Heaps,GENUS,
41,of,GENUS,
41,rock,GENUS,
41,that,,
41,have,,HAS_CAUSE
41,collapsed,,HAS_CAUSE
