Sentence,Word,POS,Tag
,used,VERB,O
,fairly,ADV,O
,widely,ADV,O
,for,ADP,O
,a,DET,O
,hole,NOUN,GEN
,which,PRON,O
,is,AUX,O
,at,ADP,O
,one,NUM,O
,time,NOUN,O
,of,ADP,O
,the,DET,O
,year,NOUN,O
,a,DET,O
,swallow,NOUN,O
,hole,NOUN,O
,and,CCONJ,O
,at,ADP,O
,another,DET,O
,time,NOUN,O
,a,DET,O
,spring,NOUN,O
,.,PUNCT,O
Sentence 18,Colluvial,NOUN,DFD
,transport,NOUN,DFD
,is,AUX,O
,down-slope,NOUN,O
,movement,NOUN,GEN
,of,ADP,GEN
,sediments,NOUN,GEN
,without,ADP,O
,the,DET,O
,assistance,NOUN,O
,of,ADP,O
,water,NOUN,O
,.,PUNCT,O
Sentence 19,Stalactites,NOUN,DFD
,are,AUX,O
,centimeter,NOUN,O
,to,PART,O
,meter,NOUN,O
,in,ADP,O
,scale,NOUN,O
,",",PUNCT,O
,hanging,VERB,O
,from,ADP,O
,the,DET,O
,ceiling,NOUN,O
,and,CCONJ,O
,growing,VERB,O
,toward,ADP,O
,the,DET,O
,cave,NOUN,O
,floor,NOUN,O
,.,PUNCT,O
Sentence 20,Stalagmitic,NOUN,DFD
,flowstones,NOUN,DFD
,are,AUX,O
,a,DET,O
,particular,ADJ,O
,type,NOUN,O
,of,ADP,O
,stalagmite,NOUN,GEN
,formed,VERB,O
,by,ADP,O
,a,DET,O
,thin,ADJ,O
,flowing,VERB,O
,film,NOUN,O
,of,ADP,O
,water,NOUN,O
,itself,PRON,O
,fed,VERB,O
,by,ADP,O
,groups,NOUN,O
,of,ADP,O
,dripping,VERB,O
,stalactites,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,coat,VERB,O
,the,DET,O
,cave,NOUN,O
,floor,NOUN,O
,and,CCONJ,O
,walls,NOUN,O
,.,PUNCT,O
,are,AUX,O
,a,DET,O
Sentence 21,Soda,NOUN,DFD
,straws,NOUN,DFD
,are,AUX,O
,speleothems,NOUN,GEN
,generated,VERB,O
,by,ADP,O
,axial,ADJ,O
,feeding,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,characterized,VERB,O
,by,ADP,O
,a,DET,O
,central,ADJ,O
,canal,NOUN,O
,with,ADP,O
,constant,ADJ,O
,diameter,NOUN,O
,and,CCONJ,O
,by,ADP,O
,a,DET,O
,wall,NOUN,O
,structure,NOUN,O
,that,PRON,O
,is,AUX,O
,controlled,VERB,O
,by,ADP,O
,geometric,ADJ,O
,selection,NOUN,O
,during,ADP,O
,growth,NOUN,O
,on,ADP,O
,the,DET,O
,meniscus,NOUN,O
,of,ADP,O
,a,DET,O
,drip,NOUN,O
,.,PUNCT,O
Sentence 22,Stalagmites,NOUN,DFD
,are,AUX,O
,convex,ADJ,O
,deposits,NOUN,GEN
,that,PRON,O
,grow,VERB,O
,upward,ADV,O
,",",PUNCT,O
,commonly,ADV,O
,fed,VERB,O
,by,ADP,O
,an,DET,O
,overhanging,ADV,O
,stalactite,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,show,VERB,O
,flat,ADJ,O
,",",PUNCT,O
,rounded,ADJ,O
,",",PUNCT,O
,or,CCONJ,O
,slightly,ADV,O
,hollow,ADJ,O
,tops,NOUN,O
,",",PUNCT,O
,but,CCONJ,O
,not,ADV,O
,a,DET,O
,central,ADJ,O
,canal,NOUN,O
,.,PUNCT,O
Sentence 23,In,ADP,O
,order,NOUN,O
,for,SCONJ,O
,a,DET,O
,sinkhole,NOUN,DFD
,to,PART,O
,form,VERB,O
,in,ADP,O
,the,DET,O
,first,ADJ,O
,place,NOUN,O
,",",PUNCT,O
,there,PRON,O
,are,VERB,O
,three,NUM,O
,requirements,NOUN,O
,:,PUNCT,O
,a,DET,O
,drainage,NOUN,O
,path,NOUN,O
,for,SCONJ,O
,the,DET,O
,surface,NOUN,O
,water,NOUN,O
,runoff,NOUN,O
,to,PART,O
,follow,VERB,O
,;,PUNCT,O
,a,DET,O
,zone,NOUN,O
,of,ADP,O
,bedrock,NOUN,O
,modified,VERB,O
,by,ADP,O
,solution,NOUN,O
,located,VERB,O
,at,ADP,O
,or,CCONJ,O
,near,ADP,O
,the,DET,O
,surface,NOUN,O
,;,PUNCT,O
,and,CCONJ,O
,a,DET,O
,covering,NOUN,O
,of,ADP,O
,soil,NOUN,O
,or,CCONJ,O
,some,DET,O
,other,ADJ,O
,material,NOUN,O
,making,VERB,O
,up,ADP,O
,the,DET,O
,land,NOUN,O
,surface,NOUN,O
,(,PUNCT,O
,this,DET,O
,last,NOUN,O
,is,AUX,O
,not,PART,O
,an,DET,O
,absolute,ADJ,O
,requirement,NOUN,O
,;,PUNCT,O
,when,ADV,O
,that,DET,O
,cover,NOUN,O
,is,AUX,O
,absent,ADJ,O
,",",PUNCT,O
,certain,ADJ,O
,types,NOUN,O
,of,ADP,O
,sinkholes,NOUN,O
,can,AUX,O
,still,ADV,O
,form,VERB,O
,),PUNCT,O
,.,PUNCT,O
Sentence 24,Also,ADV,O
,known,VERB,O
,as,ADP,O
,ponors,NOUN,O
,",",PUNCT,O
,swallow,NOUN,DFD
,holes,NOUN,DFD
,are,AUX,O
,the,DET,O
,point,NOUN,GEN
,at,ADP,O
,which,PRON,O
,a,DET,O
,sinking,NOUN,O
,stream,NOUN,O
,heads,VERB,O
,underground,ADV,O
,.,PUNCT,O
Sentence 25,Also,ADV,O
,known,VERB,O
,as,ADP,O
,ponors,NOUN,DFD
,",",PUNCT,O
,swallow,NOUN,O
,holes,NOUN,O
,are,AUX,O
,the,DET,O
,point,NOUN,GEN
,at,ADP,O
,which,PRON,O
,a,DET,O
,sinking,NOUN,O
,stream,NOUN,O
,heads,VERB,O
,underground,ADV,O
,.,PUNCT,O
Sentence 26,Swallow,NOUN,DFD
,holes,NOUN,DFD
,are,AUX,O
,surface,NOUN,O
,drainage,NOUN,GEN
,features,NOUN,GEN
,that,PRON,O
,direct,ADV,O
,runoff,VERB,O
,into,ADP,O
,an,DET,O
,underground,ADJ,O
,channelóin,NOUN,O
,other,ADJ,O
,words,NOUN,O
,",",PUNCT,O
,they,PRON,O
,are,AUX,O
,sinkholes,NOUN,O
,that,PRON,O
,form,VERB,O
,in,ADP,O
,a,DET,O
,stream,NOUN,O
,bed,NOUN,O
,",",PUNCT,O
,often,ADV,O
,with,ADP,O
,a,DET,O
,large,ADJ,O
,vertical,ADJ,O
,shaft,NOUN,O
,beneath,ADV,O
,.,PUNCT,O
Sentence 27,Intrastratal,ADJ,DFD
,karstification,NOUN,DFD
,refers,VERB,O
,to,ADP,O
,the,DET,O
,preferential,ADJ,GEN
,dissolution,NOUN,GEN
,of,ADP,O
,a,DET,O
,particular,ADJ,O
,bed,NOUN,O
,or,CCONJ,O
,other,ADJ,O
,unit,NOUN,O
,within,ADP,O
,a,DET,O
,sequence,NOUN,O
,of,ADP,O
,soluble,ADJ,O
,rocks,NOUN,O
,",",PUNCT,O
,e,X,O
,.,PUNCT,O
,g,X,O
,.,PUNCT,O
,a,DET,O
,gypsum,NOUN,O
,bed,NOUN,O
,in,ADP,O
,a,DET,O
,dolomite,NOUN,O
,formation,NOUN,O
,.,PUNCT,O
Sentence 28,Exokarst,NOUN,DFD
,refers,VERB,O
,to,ADP,O
,the,DET,O
,suit,NOUN,O
,of,ADP,O
,karst,NOUN,GEN
,features,NOUN,O
,developed,VERB,O
,at,ADP,O
,the,DET,O
,surface,NOUN,O
,.,PUNCT,O
,at,ADP,O
,the,DET,O
,surface,NOUN,O
Sentence 29,Cryptokarst,NOUN,DFD
,refers,VERB,O
,to,ADP,O
,karst,NOUN,GEN
,forms,NOUN,O
,developed,VERB,O
,beneath,ADP,O
,a,DET,O
,blanket,NOUN,O
,of,ADP,O
,permeable,NOUN,O
,sediments,NOUN,O
,such,ADJ,O
,as,ADP,O
,soil,NOUN,O
,",",PUNCT,O
,till,NOUN,O
,",",PUNCT,O
,periglacial,NOUN,O
,deposits,NOUN,O
,and,CCONJ,O
,residual,ADJ,O
,clays,NOUN,O
,.,PUNCT,O
Sentence 30,Karst-like,NOUN,GEN
,landforms,NOUN,GEN
,produced,VERB,O
,by,ADP,O
,processes,NOUN,O
,other,ADJ,O
,than,ADP,O
,dissolution,NOUN,O
,or,CCONJ,O
,corrosion-induced,NOUN,O
,subsidence,NOUN,O
,and,CCONJ,O
,collapse,NOUN,O
,are,AUX,O
,known,VERB,O
,as,ADP,O
,pseudokarst,NOUN,DFD
,.,PUNCT,O
Sentence 31,Thermokarst,NOUN,DFD
,is,AUX,O
,a,DET,O
,related,VERB,O
,term,NOUN,O
,applied,VERB,O
,to,ADP,O
,topographic,ADJ,GEN
,depressions,NOUN,GEN
,resulting,VERB,O
,from,ADP,O
,thawing,NOUN,O
,of,ADP,O
,ground,NOUN,O
,ice,NOUN,O
,.,PUNCT,O
,ground,NOUN,O
,ice,NOUN,O
Sentence 32,Holokarst,PROPN,DFD
,is,AUX,O
,pure,ADJ,O
,karst,NOUN,GEN
,uninfluenced,ADV,O
,by,ADP,O
,other,ADJ,O
,rocks,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,is,AUX,O
,developed,VERB,O
,on,ADP,O
,thick,ADJ,O
,limestones,NOUN,O
,extending,VERB,O
,well,ADV,O
,below,ADP,O
,baselevel,ADV,O
,.,PUNCT,O
Sentence 33,Concentrated,VERB,O
,inflows,NOUN,O
,of,ADP,O
,water,NOUN,O
,from,ADP,O
,allogenic,ADJ,O
,sources,NOUN,O
,sink,VERB,O
,underground,ADV,O
,at,ADP,O
,swallow,NOUN,O
,holes,NOUN,O
,(,PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,swallets,NOUN,DFD
,",",PUNCT,O
,stream-sinks,NOUN,DFD
,or,CCONJ,O
,ponors,NOUN,DFD
,),PUNCT,O
,.,PUNCT,O
Sentence 34,Concentrated,VERB,O
,inflows,NOUN,O
,of,ADP,O
,water,NOUN,O
,from,ADP,O
,allogenic,ADJ,O
,sources,NOUN,O
,sink,VERB,O
,underground,ADV,O
,at,ADP,O
,swallow,NOUN,DFD
,holes,NOUN,DFD
,(,PUNCT,O
,also,ADV,O
,known,VERB,O
,as,ADP,O
,swallets,NOUN,O
,",",PUNCT,O
,stream-sinks,NOUN,O
,or,CCONJ,O
,ponors,NOUN,O
,),PUNCT,O
,.,PUNCT,O
Sentence 35,In,ADP,O
,contrast,NOUN,O
,",",PUNCT,O
,travertine,PROPN,DFD
,is,AUX,O
,crystalline,ADJ,O
,",",PUNCT,O
,dense,ADJ,O
,calcite,NOUN,GEN
,that,PRON,O
,is,AUX,O
,often,ADV,O
,well,ADV,O
,layered,VERB,O
,",",PUNCT,O
,quite,ADV,O
,lustrous,ADV,O
,and,CCONJ,O
,lacks,VERB,O
,framing,NOUN,O
,plant,NOUN,O
,content,NOUN,O
,.,PUNCT,O
Sentence 36,Tufa,NOUN,DFD
,refers,VERB,O
,to,ADP,O
,softer,ADJ,O
,porous,NOUN,O
,material,NOUN,GEN
,found,VERB,O
,near,ADP,O
,cave,NOUN,O
,entrances,NOUN,O
,where,ADV,O
,rapid,ADJ,O
,deposition,NOUN,O
,is,AUX,O
,encouraged,VERB,O
,by,ADP,O
,evaporation,NOUN,O
,.,PUNCT,O
Sentence 37,Ideal,ADJ,O
,cave,NOUN,DFD
,pearls,NOUN,DFD
,are,AUX,O
,spheres,NOUN,GEN
,that,PRON,O
,range,VERB,O
,~,SYM,O
,0,X,O
,.,PUNCT,O
,2,NUM,O
,to,ADP,O
,10,NUM,O
,-,SYM,O
,15,NUM,O
,mm,NUM,O
,in,ADP,O
,diameter,NOUN,O
,.,PUNCT,O
Sentence 38,Opal,PROPN,DFD
,(,PUNCT,O
,cristobalite,NOUN,DFD
,),PUNCT,O
,is,AUX,O
,a,DET,O
,very,ADV,O
,fine-grained,NOUN,O
,silica,NOUN,GEN
,that,PRON,O
,occurs,VERB,O
,as,ADP,O
,thin,ADJ,O
,interlayers,NOUN,O
,in,ADP,O
,some,DET,O
,calcite,NOUN,O
,and,CCONJ,O
,gypsum,NOUN,O
,speleothems,NOUN,O
,.,PUNCT,O
Sentence 39,The,DET,O
,static,ADJ,DFD
,cave,NOUN,DFD
,is,AUX,O
,a,DET,O
,simple,ADJ,O
,deep,ADJ,O
,hole,NOUN,GEN
,with,ADP,O
,no,DET,O
,air,NOUN,O
,drainage,NOUN,O
,out,ADP,O
,of,ADP,O
,the,DET,O
,bottom,NOUN,O
,;,PUNCT,O
,thus,ADV,O
,it,PRON,O
,traps,VERB,O
,cold,ADJ,O
,",",PUNCT,O
,dense,ADJ,O
,air,NOUN,O
,and,CCONJ,O
,excludes,VERB,O
,warmer,ADJ,O
,air,NOUN,O
,.,PUNCT,O
Sentence 40,Sedimentologists,NOUN,O
,define,VERB,O
,primary,ADJ,DFD
,porosity,NOUN,DFD
,as,ADP,O
,that,PRON,O
,created,VERB,O
,during,ADP,O
,deposition,NOUN,O
,of,ADP,O
,the,DET,O
,rock,NOUN,O
,(,PUNCT,O
,i,PRON,O
,.,PUNCT,O
,e,X,O
,.,PUNCT,O
,created,VERB,O
,first,ADV,O
,),PUNCT,O
,and,CCONJ,O
,secondary,ADJ,O
,porosity,NOUN,O
,as,ADP,O
,that,PRON,O
,produced,VERB,O
,during,ADP,O
,diagenesis,NOUN,O
,.,PUNCT,O
Sentence 41,Shaft-like,NOUN,O
,depressions,NOUN,GEN
,deeply,ADV,O
,flooded,VERB,O
,by,ADP,O
,seawater,NOUN,O
,in,ADP,O
,low-lying,VERB,O
,coral,NOUN,O
,islands,NOUN,O
,are,AUX,O
,known,VERB,O
,as,ADP,O
,blue,ADJ,DFD
,holes,NOUN,DFD
,.,PUNCT,O
Sentence 42,Suffosion,NOUN,DFD
,is,AUX,O
,the,DET,O
,process,NOUN,GEN
,whereby,ADV,O
,fines,NOUN,O
,are,AUX,O
,evacuated,VERB,O
,through,ADP,O
,underlying,VERB,O
,pipes,NOUN,O
,in,ADP,O
,the,DET,O
,karstified,NOUN,O
,bedrock,NOUN,O
,by,ADP,O
,a,DET,O
,combination,NOUN,O
,of,ADP,O
,physical,ADJ,O
,downwashing,NOUN,O
,and,CCONJ,O
,chemical,ADJ,O
,solution,NOUN,O
,.,PUNCT,O
Sentence 43,The,DET,O
,word,NOUN,O
,polje,NOUN,DFD
,signifies,VERB,O
,a,DET,O
,field,NOUN,GEN
,or,CCONJ,O
,a,DET,O
,large,ADJ,GEN
,plain,NOUN,GEN
,",",PUNCT,O
,and,CCONJ,O
,it,PRON,O
,is,AUX,O
,still,ADV,O
,widely,ADV,O
,used,VERB,O
,in,ADP,O
,Slav,PROPN,O
,languages,NOUN,O
,without,ADP,O
,particular,ADJ,O
,reference,NOUN,O
,to,ADP,O
,karstic,NOUN,O
,terrain,NOUN,O
,(,PUNCT,O
,Sweeting,PROPN,O
,1972,NUM,O
,",",PUNCT,O
,Roglic,PROPN,O
,1974,NUM,O
,),PUNCT,O
,",",PUNCT,O
,although,SCONJ,O
,poljes,NOUN,O
,in,ADP,O
,the,DET,O
,karst,NOUN,O
,of,ADP,O
,Slovenia,PROPN,O
,are,AUX,O
,usually,ADV,O
,called,VERB,O
,dolina,PROPN,O
,or,CCONJ,O
,dol,NOUN,O
,(,PUNCT,O
,Gams,PROPN,O
,1994,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 44,The,DET,O
,word,NOUN,O
,',PUNCT,O
,tower,NOUN,O
,',PUNCT,O
,therefore,ADV,O
,subsumes,VERB,O
,a,DET,O
,myriad,NOUN,O
,of,ADP,O
,forms,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,a,DET,O
,variety,NOUN,O
,of,ADP,O
,terms,NOUN,O
,in,ADP,O
,different,ADJ,O
,languages,NOUN,O
,has,AUX,O
,been,AUX,O
,used,VERB,O
,to,PART,O
,describe,VERB,O
,them,PRON,O
,",",PUNCT,O
,including,VERB,O
,turm,NOUN,O
,",",PUNCT,O
,mogote,ADV,DFD
,",",PUNCT,O
,cone,NOUN,DFD
,",",PUNCT,O
,piton,NOUN,DFD
,",",PUNCT,O
,hum,NOUN,DFD
,and,CCONJ,O
,pepino,NOUN,O
,.,PUNCT,O
Sentence 45,The,DET,O
,word,NOUN,O
,',PUNCT,O
,tower,NOUN,DFD
,',PUNCT,O
,therefore,ADV,O
,subsumes,VERB,O
,a,DET,O
,myriad,NOUN,O
,of,ADP,O
,forms,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,a,DET,O
,variety,NOUN,O
,of,ADP,O
,terms,NOUN,O
,in,ADP,O
,different,ADJ,O
,languages,NOUN,O
,has,AUX,O
,been,AUX,O
,used,VERB,O
,to,PART,O
,describe,VERB,O
,them,PRON,O
,",",PUNCT,O
,including,VERB,O
,turm,NOUN,DFD
,",",PUNCT,O
,mogote,ADV,O
,",",PUNCT,O
,cone,NOUN,O
,",",PUNCT,O
,piton,NOUN,O
,",",PUNCT,O
,hum,NOUN,O
,and,CCONJ,O
,pepino,NOUN,O
,.,PUNCT,O
Sentence 46,The,DET,O
,word,NOUN,O
,',PUNCT,O
,tower,NOUN,O
,',PUNCT,O
,therefore,ADV,O
,subsumes,VERB,O
,a,DET,O
,myriad,NOUN,O
,of,ADP,O
,forms,NOUN,O
,",",PUNCT,O
,and,CCONJ,O
,a,DET,O
,variety,NOUN,O
,of,ADP,O
,terms,NOUN,O
,in,ADP,O
,different,ADJ,O
,languages,NOUN,O
,has,AUX,O
,been,AUX,O
,used,VERB,O
,to,PART,O
,describe,VERB,O
,them,PRON,O
,",",PUNCT,O
,including,VERB,O
,turm,NOUN,O
,",",PUNCT,O
,mogote,ADV,O
,",",PUNCT,O
,cone,NOUN,O
,",",PUNCT,O
,piton,NOUN,O
,",",PUNCT,O
,hum,NOUN,O
,and,CCONJ,O
,pepino,NOUN,DFD
,.,PUNCT,O
Sentence 47,Breccia,NOUN,DFD
,pipes,NOUN,DFD
,are,AUX,O
,common,ADJ,O
,features,NOUN,GEN
,of,ADP,O
,gypsum,NOUN,O
,karst,NOUN,O
,that,PRON,O
,are,AUX,O
,created,VERB,O
,by,ADP,O
,progressive,ADJ,O
,stoping,NOUN,O
,above,ADP,O
,sites,NOUN,O
,of,ADP,O
,interstratal,ADJ,O
,dissolution,NOUN,O
,.,PUNCT,O
Sentence 48,Gypsum,NOUN,DFD
,tumuli,NOUN,DFD
,(,PUNCT,O
,bubbles,NOUN,O
,or,CCONJ,O
,tents,NOUN,O
,),PUNCT,O
,are,AUX,O
,hollow,ADJ,GEN
,domes,NOUN,GEN
,of,ADP,O
,freshly,ADV,O
,formed,VERB,O
,gypsum,NOUN,O
,that,PRON,O
,are,AUX,O
,round,ADJ,O
,or,CCONJ,O
,elliptical,ADJ,O
,in,ADP,O
,plan,NOUN,O
,(,PUNCT,O
,Breish,PROPN,O
,and,CCONJ,O
,Wefer,PROPN,O
,1981,NUM,O
,",",PUNCT,O
,Pulido-Bosch,PROPN,O
,1986,NUM,O
,",",PUNCT,O
,Macaluso,PROPN,O
,and,CCONJ,O
,Sauro,PROPN,O
,1996,NUM,O
,),PUNCT,O
,.,PUNCT,O
Sentence 49,Gypsum,NOUN,O
,tumuli,NOUN,O
,(,PUNCT,O
,bubbles,NOUN,DFD
,or,CCONJ,O
,tents,NOUN,DFD
,),PUNCT,O
,are,AUX,O
,hollow,ADJ,GEN
,domes,NOUN,GEN
,of,ADP,O
,freshly,ADV,O
,formed,VERB,O
,gypsum,NOUN,O
,that,PRON,O
,are,AUX,O
,round,ADJ,O
,or,CCONJ,O
,elliptical,ADJ,O
,in,ADP,O
,plan,NOUN,O
,(,PUNCT,O
,Breish,PROPN,O
,and,CCONJ,O
,Wefer,PROPN,O
