DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE
Coastal geomorphology,branch of geomorphology,,,,,,"Coastal geomorphology is a branch of geomorphology in which the focus is on the area influenced by large bodies of water, including seas and oceans, and large lakes."
tsunami,series of ocean waves,"impulsive disturbance that displaces the water , rather than by the wind .",,,,,"A tsunami is a series of ocean waves of extremely long wave length and period that is generated by an impulsive disturbance that displaces the water, rather than by the wind."
Accuracy,measure,,,,,,Accuracy is a measure of how close an age is to the time of formation or death of the dated material.
Magnitude,measure,,,,,,"Magnitude is a measure of the amount of energy released by an earthquake, and it is proportional to the area of the rupture surface and to the amount of displacement."
mantle plume,column,,,,ascends toward the surface from the lowermantle,,A mantle plume is a column of hot rock (not magma) that ascends toward the surface from the lowermantle.
Clast shape,measure,,,,,,Clast shape is a measure of the overall shape of a particle.
profilometer,comb,,,advance or retreat through the housing when depressed against a rough surface,,,"A profilometer is a comb equipped with fine, closely spaced teeth that advance or retreat through the housing when depressed against a rough surface."
Amino-acid geochronology,is a|technique,,,relative-age dating,,,Amino-acid geochronology is a relative-age dating technique based on the premise that proteins in bones and shells are affected by a number of chemical reactions that are partly time-dependent.
suture,surface zone,following disappearance of an intervening ocean .,,separating two non-subductable pieces of crust that are juxtaposed,,,A suture is a surface or zone separating two non-subductable pieces of crust that are juxtaposed following disappearance of an intervening ocean.
paleoseismic record,record,because geologic evidence of small and moderate-sized earthquakes is rarely created or preserved near the surface,,,,,A paleoseismic record is a record of large or great earthquakes (because geologic evidence of small and moderate-sized earthquakes is rarely created or preserved near the surface).
Glaciers,masses of ice,,,move slowly under their own weight,,large,Glaciers are large masses of ice formed of compressed snow that move slowly under their own weight.
Sills,intrusions,,"resistant , tabular bands within sedimentary beds",,may cross beds to spread along other bedding planes,,"Sills are concordant intrusions and frequently form resistant, tabular bands within sedimentary beds, although they may cross beds to spread along other bedding planes."
Laccoliths,sills,,,,,,Laccoliths are sills that have thickened to produce domes.
Phacoliths,masses,,lens-shaped,,seated in anticlinal crests and synclinal troughs,,Phacoliths are lens-shaped masses seated in anticlinal crests and synclinal troughs.
Blockfields,rock rubble,,,,,large expanses,Blockfields are large expanses of coarse and angular rock rubble.
Grab samplers,buckets segments,,,drive into the sediment layer and enclose and retain a layer,,,Grab samplers are buckets or segments that drive into the sediment layer and enclose and retain a layer.
Ophiolites,sections,uplifted or emplaced and exposed,,,earth's oceanic crust and the underlying upper mantle|continental crustal rocks,,Ophiolites are sections of the earth's oceanic crust and the underlying upper mantle that have been uplifted or emplaced and exposed within the continental crustal rocks.
Collisions,zones,,,,"where a continent , island arc , oceanic plateau , or other thick piece of crust on a downgoing plate arrives at a subduction zone .",,"Collisions are zones where a continent, island arc, oceanic plateau, or other thick piece of crust on a downgoing plate arrives at a subduction zone."
Volcanic rift zones,belts,,,,,,"Volcanic rift zones are belts of aligned volcanic vents and associated magma-induced extensional structures such as subparallel normal faults, anastomosing tensile cracks, monoclines, and eruptive fissure."
Landslides,landforms,,,,,,Landslides are disequilibrium landforms that change through time more rapidly than surrounding terrain.
Consociations,map units,,,delineate a single geomorphic process or landform,,,"Consociations are map units which delineate a single geomorphic process or landform, depending on scale."
Placer deposits,,,,,,,"Placer deposits are mixtures of heavy metals with specific location, geomorphic principles have been applied other than any other phase of economic geology."
Nunataks,rock outcrops,,surrounded by ice .,,,ranging from less than a kilometre to hundreds of kilometres in size,"Nunataks are rock outcrops, ranging from less than a kilometre to hundreds of kilometres in size, surrounded by ice."
Jökulhlaups,outbursts,,,,stored beneath a glacier or ice sheet as a subglacial lake .,,Jökulhlaups are outbursts of meltwater stored beneath a glacier or ice sheet as a subglacial lake.
Rock glaciers,"frozen , angular rock",,,,,,"Rock glaciers are lobes or tongues of frozen, angular rock and fine debris mixed with interstitial ice and ice lenses."
Fumaroles,vents,,,through which volcanic gases are released at the surface,,,Fumaroles are vents through which volcanic gases are released at the surface.
Karst springs,locations,,,,where groundwater emerges from the limestone|flows across the surface,,Karst springs are locations where groundwater emerges from the limestone and flows across the surface forming a stream or contained pool.
Zeolites,minerals,low-grade metamorphism of volcanic rocks,,,,,Zeolites are silicate minerals that typically form during low-grade metamorphism of volcanic rocks.
Aiguille,rock outcrop|peak,intense frost action,sharply pointed,,"mountainous regions , such as the Alps",,"Aiguille is a sharply pointed rock outcrop or peak, very often produced by intense frost action in mountainous regions, such as the Alps."
Dissolution,process,,,,,,"Dissolution is the process whereby a rock, or parts of a rock, combine with water to form a solution."
Dome dune,mound,,"low , circular or oval",,formed where dune height is inhibited by unobstructed strong winds,,"Dome dune is a low, circular or oval mound formed where dune height is inhibited by unobstructed strong winds."
Estuary,end of a river,,"opening towards the sea , typically through a funnel-shaped inlet",,seaward,,"Estuary is the seaward end of a river, opening towards the sea, typically through a funnel-shaped inlet, and usually subject to tidal movements and incursions of salt water from the sea."
Feeder beach,beach,,artificially widened,nourishes downdrift beaches by natural littoral currents or forces,,,Feeder beach is a beach that is artificially widened and nourishes downdrift beaches by natural littoral currents or forces.
Flash,depression,"formed by subsidence , particularly as a result of the solution of evaporite beds .",,,,,"Flash is a depression formed by subsidence, particularly as a result of the solution of evaporite beds."
Floodplain,landform,flow regime of the present river,,,,,"Floodplain is a relatively flat alluvial landform, constructed largely by the flow regime of the present river and subject to flooding."
Terracette,terrace,,step on a hillside|near parallel series,,along the contours of a hillslope,small,Terracette is a small terrace that forms a step on a hillside. They often occur in near parallel series running approximately along the contours of a hillslope.
Colloids,particles,,,,,from 1 to 100 nm,Colloids are particles of organic and mineral substances that range in size from 1 to 100 nm.
Rills,channels,ephemeral rivulets,,,hillside,few centimetres wide and deep|tiny,Rills are tiny hillside channels a few centimetres wide and deep that are cut by ephemeral rivulets.
Cirques,hollows,,armchair-shaped,,mountainous terrain,,Cirques are typically armchair-shaped hollows that form in mountainous terrain.
Lunate features,fractures,,shaped like crescents with the concavity facing the direction of ice flow,,,,Lunate features are fractures shaped like crescents with the concavity facing the direction of ice flow.
Geer moraines,ridges of till,associated with lakes or former lakes,roughly parallel,,,small,Geer moraines or washboard moraines are series of small and roughly parallel ridges of till that are ordinarily associated with lakes or former lakes.
washboard moraines,ridges of till,associated with lakes or former lakes,roughly parallel,,,small,Geer moraines or washboard moraines are series of small and roughly parallel ridges of till that are ordinarily associated with lakes or former lakes.
Eskers,landform,infilling of subglacial or englacial channels or by sedimentation in supraglacial channels|created by subglacial meltwater,,,,,Eskers are the chief landform created by subglacial meltwater and form by the infilling of subglacial or englacial channels or by sedimentation in supraglacial channels.
Icing blisters,ice mounds,groundwater injected at high pressure between icing layers,,,,,Icing blisters are ice mounds created by groundwater injected at high pressure between icing layers.
Thermokarst,terrain,,irregular,,,,Thermokarst is irregular terrain characterized by topographic depressions with hummocks between them.
Solifluction,process,,,,periglacial,,"Solifluction is an important periglacial process and forms sheets, lobes, terraces, and ploughing boulders."
Dunes,sand,piecemeal by the wind,,,,,Dunes are collections of loose sand built piecemeal by the wind.
Blowouts,depressions,deflation of loose sand partly bound by plant roots,,,,,Blowouts are depressions created by the deflation of loose sand partly bound by plant roots.
Tombolos,ridges,,,connecting islands to the mainland or islands to islands,,,Tombolos are wave-built ridges of beach material connecting islands to the mainland or islands to islands.
Tidal flats,banks,,exposed at low tide,,,,Tidal flats are banks of mud or sand that are exposed at low tide.
Greywackes,sandstones,,,,,,Greywackes are sandstones containing rock fragments and clay minerals.
Caldera,crater|depression,collapse of the central part of a volcano .|powerful volcanic explosion,,,,large,Caldera is a large crater or depression resulting from a powerful volcanic explosion or the collapse of the central part of a volcano.
Catchment,area,defined by the surrounding watershed|drained by a river,,,,,Catchment is an area that is drained by a river and defined by the surrounding watershed.
Chute,channel,,,,furrows produced by avalanches on hill slopes|straits between the mainland and islands|rivers,,"Chute is a narrow channel with a swift current, applied to rivers, the straits between the mainland and islands, and to furrows produced by avalanches on hill slopes."
Coquina,rock,,,,,,"Coquina is a carbonate rock which consists largely or wholly of mechanically sorted, weakly to moderately cemented fossil debris."
Corestone,boulder,sub-surface weathering of a joint block,spheroidal,,surrounded by saprolite,,Corestone is a spheroidal boulder of relatively unweathered rock surrounded by saprolite and formed by sub-surface weathering of a joint block.
Corrasion,erosion,by the impact of moving debris,,,,,Corrasion is the mechanical erosion of rock surfaces by the impact of moving debris.
Corridor karst,karst,,,,,,"Corridor karst is a type of karst characterized by long, narrow chasms enlarged by the action of water and into which surface runoff or stream may flow."
Daya,depression,as a result of solution .,,,areas underlain by limestone bedrock or calcrete,,Daya is a shallow depression found primarily in areas underlain by limestone bedrock or calcrete as a result of solution.
De Geer Moraine,landform,,small ridges oriented perpendicular to the ice flow direction,,,,De Geer Moraine is a glacial landform consisting of swarms of small ridges oriented perpendicular to the ice flow direction.
Dreikanter,pebble,wind abrasion,three distinct facets on its upper surface,,surface in desert regions and periglacial areas,,Dreikanter is a shaped pebble found on the surface in desert regions and periglacial areas with three distinct facets on its upper surface as a result of wind abrasion.
Drift ice,ice,has drifted from its point of origin,,,,,Drift ice is any type of floating ice that has drifted from its point of origin and broken into pieces small enough for a ship to sail through.
Ferricrete,duricrust,,,,,,Ferricrete is a type of duricrust consisting of an iron-pan or near-surface zone of iron sesquioxide cementation.
Fiard,inlet,drowning of an undulating landscape of shallow valleys and low interfluves,,,coastal,,Fiard is a coastal inlet produced by the drowning of an undulating landscape of shallow valleys and low interfluves.
Foreshore,coast,,,,between the lowest low-water line and the average high-water mark,,Foreshore is the part of a coast lying between the lowest low-water line and the average high-water mark.
